OBJECTID,Shape_Leng,DISTRICT,STATE_UT,Shape_Area,Dist_LGD,REMARKS,STATE_LGD,system:index
648,483151.544555,BUNDI,RAJASTHAN,5.560963812E9,121,,8,0000000000000000027e
649,1036781.34618,CHITTAURGARH,RAJASTHAN,7.52681373808E9,126,,8,0000000000000000027f
650,1032430.88744,CHURU,RAJASTHAN,1.34120541276E10,102,,8,00000000000000000280
651,514422.059356,DAUSA,RAJASTHAN,3.30297302981E9,109,,8,00000000000000000281
652,480152.833326,DEEG,RAJASTHAN,2.08935824241E9,105N001,,8,00000000000000000282
653,397801.481324,DHAULPUR,RAJASTHAN,2.92406693341E9,106,,8,00000000000000000283
654,629806.317861,DIDWANA-KUCHAMAN,RAJASTHAN,6.55650944374E9,112N001,,8,00000000000000000284
655,391835.434515,DUDU,RAJASTHAN,1.90606294527E9,110N002,,8,00000000000000000285
656,382143.357133,DUNGARPUR,RAJASTHAN,3.64531398106E9,124,,8,00000000000000000286
657,779609.129484,GANGANAGAR,RAJASTHAN,6.19888591989E9,99,,8,00000000000000000287
658,310376.591867,GANGAPURCITY,RAJASTHAN,2.42043041283E9,131N003,,8,00000000000000000288
659,942041.715172,HANUMANGARH,RAJASTHAN,9.41421612047E9,100,,8,00000000000000000289
660,177213.390048,JAIPUR,RAJASTHAN,4.86333900806E8,110,,8,0000000000000000028a
661,936655.610982,JAIPUR(GRAMIN),RAJASTHAN,7.10765135693E9,110N001,,8,0000000000000000028b
662,1028337.22092,JAISALMER,RAJASTHAN,3.58330649844E10,114,,8,0000000000000000028c
663,572988.627981,JALOR,RAJASTHAN,5.72147919736E9,116,,8,0000000000000000028d
664,754834.181558,JHALAWAR,RAJASTHAN,6.09996377526E9,129,,8,0000000000000000028e
665,515316.368521,JHUNJHUNUN,RAJASTHAN,4.64260954338E9,103,,8,0000000000000000028f
666,96504.1665283,JODHPUR,RAJASTHAN,2.53522661219E8,113,,8,00000000000000000290
667,924418.021759,JODHPUR GRAMIN,RAJASTHAN,1.25004845683E10,113N001,,8,00000000000000000291
668,433199.690592,KARAULI,RAJASTHAN,3.72601182954E9,107,,8,00000000000000000292
669,423790.397698,KEKRI,RAJASTHAN,3.40886535738E9,131N005,,8,00000000000000000293
670,315280.939861,KHAIRTHAL-TIJARA,RAJASTHAN,1.94199701457E9,104N001,,8,00000000000000000294
671,617351.946017,KOTA,RAJASTHAN,4.8867352245E9,127,,8,00000000000000000295
672,530485.608662,KOTPUTLI-BEHROR,RAJASTHAN,2.79347605757E9,131N002,,8,00000000000000000296
673,665973.543824,NAGAUR,RAJASTHAN,1.06078745715E10,112,,8,00000000000000000297
674,484872.833102,NEEM-KA-THANA,RAJASTHAN,2.75760893711E9,131N001,,8,00000000000000000298
675,668819.576014,PALI,RAJASTHAN,9.53062515073E9,118,,8,00000000000000000299
676,851166.311531,PHALODI,RAJASTHAN,1.03300488216E10,131N004,,8,0000000000000000029a
677,466045.527608,PRATAPGARH,RAJASTHAN,4.25148506687E9,131,,8,0000000000000000029b
678,639438.007789,RAJSAMAND,RAJASTHAN,4.31515792081E9,130N002,,8,0000000000000000029c
679,406152.318286,SALUMBAR,RAJASTHAN,2.56763304153E9,130N001,,8,0000000000000000029d
680,545005.579613,SANCHORE,RAJASTHAN,4.51670568802E9,116N001,,8,0000000000000000029e
681,386325.58199,SAWAI MADHOPUR,RAJASTHAN,3.51851537877E9,108,,8,0000000000000000029f
682,438268.16604,SHAHPURA,RAJASTHAN,3.40663633528E9,122N001,,8,000000000000000002a0
683,611878.51842,SIKAR,RAJASTHAN,5.77347620617E9,111,,8,000000000000000002a1
684,454740.447007,SIROHI,RAJASTHAN,4.94055592097E9,117,,8,000000000000000002a2
685,776982.219958,TONK,RAJASTHAN,6.28711211473E9,120,,8,000000000000000002a3
686,963902.178208,UDAIPUR,RAJASTHAN,8.68689922549E9,130,,8,000000000000000002a4
1131,782348.258852,AGRA,UTTAR PRADESH,3.8908181127E9,146,,9,0000000000000000034d
1132,498717.661314,ALIGARH,UTTAR PRADESH,3.58518473019E9,143,,9,0000000000000000034e
1133,377307.595837,AMBEDKAR NAGAR,UTTAR PRADESH,2.23789984066E9,178,,9,0000000000000000034f
1134,396810.794964,AMETHI,UTTAR PRADESH,2.33384087357E9,641,,9,00000000000000000350
1135,365711.342081,AMROHA,UTTAR PRADESH,2.10708876229E9,137,,9,00000000000000000351
1136,279215.510357,AURAIYA,UTTAR PRADESH,1.94474543491E9,162,,9,00000000000000000352
1137,372580.70102,AYODHYA,UTTAR PRADESH,2.58805780726E9,177,,9,00000000000000000353
1138,505138.923268,AZAMGARH,UTTAR PRADESH,4.05503216732E9,191,,9,00000000000000000354
1139,218392.986827,BAGHPAT,UTTAR PRADESH,1.28180038173E9,139,,9,00000000000000000355
1140,573992.001919,BAHRAICH,UTTAR PRADESH,4.74098596046E9,180,,9,00000000000000000356
1141,437713.483094,BALLIA,UTTAR PRADESH,2.87691027019E9,193,,9,00000000000000000357
1142,461650.343501,BALRAMPUR,UTTAR PRADESH,3.22573869622E9,182,,9,00000000000000000358
1144,491113.677858,BARA BANKI,UTTAR PRADESH,3.70834752518E9,176,,9,00000000000000000359
1145,514983.13083,BAREILLY,UTTAR PRADESH,3.98455244973E9,150,,9,0000000000000000035a
1146,375757.243843,BASTI,UTTAR PRADESH,2.6864188337E9,185,,9,0000000000000000035b
1147,271234.394101,BHADOHI,UTTAR PRADESH,9.80755814445E8,198,,9,0000000000000000035c
1148,385948.177973,BIJNOR,UTTAR PRADESH,4.46061014632E9,134,,9,0000000000000000035d
1149,452365.233615,BUDAUN,UTTAR PRADESH,4.11252030196E9,149,,9,0000000000000000035e
1150,434985.728672,BULANDSHAHR,UTTAR PRADESH,3.56193510377E9,142,,9,0000000000000000035f
1151,386223.094363,CHANDAULI,UTTAR PRADESH,2.45028725515E9,196,,9,00000000000000000360
1152,541953.57939,CHITRAKOOT,UTTAR PRADESH,3.12585308872E9,171,,9,00000000000000000361
1153,407429.241737,DEORIA,UTTAR PRADESH,2.421548301E9,190,,9,00000000000000000362
1154,494594.144675,ETAH,UTTAR PRADESH,2.33866509301E9,201,,9,00000000000000000363
1155,329105.355469,ETAWAH,UTTAR PRADESH,2.24110738781E9,161,,9,00000000000000000364
1156,342993.9686,FARRUKHABAD,UTTAR PRADESH,2.10390031482E9,159,,9,00000000000000000365
1157,442025.548495,FATEHPUR,UTTAR PRADESH,4.0212770582E9,172,,9,00000000000000000366
1158,387446.33895,FIROZABAD,UTTAR PRADESH,2.33138253819E9,147,,9,00000000000000000367
1159,340504.633294,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,1.20600405361E9,141,,9,00000000000000000368
1160,211027.849846,GHAZIABAD,UTTAR PRADESH,8.85051733539E8,140,,9,00000000000000000369
1161,413979.049842,GHAZIPUR,UTTAR PRADESH,3.25231402478E9,195,,9,0000000000000000036a
1162,513177.22554,GONDA,UTTAR PRADESH,3.83893696591E9,183,,9,0000000000000000036b
1163,548846.092662,GORAKHPUR,UTTAR PRADESH,3.2083690376E9,188,,9,0000000000000000036c
1164,517505.372437,HAMIRPUR,UTTAR PRADESH,3.75583639791E9,168,,9,0000000000000000036d
1165,248410.197679,HAPUR,UTTAR PRADESH,1.09615486273E9,661,,9,0000000000000000036e
1166,584403.471202,HARDOI,UTTAR PRADESH,5.77247714579E9,155,,9,0000000000000000036f
1167,349333.621158,HATHRAS,UTTAR PRADESH,1.72032099571E9,144,,9,00000000000000000370
1168,494340.82508,JALAUN,UTTAR PRADESH,4.39385403724E9,165,,9,00000000000000000371
1169,539280.109791,JAUNPUR,UTTAR PRADESH,3.88228294845E9,194,,9,00000000000000000372
1170,990910.889734,JHANSI,UTTAR PRADESH,4.83246502397E9,166,,9,00000000000000000373
1171,314714.64291,KANNAUJ,UTTAR PRADESH,2.01992574748E9,160,,9,00000000000000000374
1172,366077.374646,KANPUR DEHAT,UTTAR PRADESH,3.04694757716E9,163,,9,00000000000000000375
1173,461220.336932,KANPUR NAGAR,UTTAR PRADESH,2.89362472719E9,164,,9,00000000000000000376
1174,326313.573851,KASGANJ,UTTAR PRADESH,1.893480674E9,202,,9,00000000000000000377
1175,290743.109584,KAUSHAMBI,UTTAR PRADESH,1.74014802541E9,174,,9,00000000000000000378
1176,693378.672083,KHERI,UTTAR PRADESH,7.43523383247E9,153,,9,00000000000000000379
1177,467734.018391,KUSHINAGAR,UTTAR PRADESH,2.79334226944E9,189,,9,0000000000000000037a
1178,437401.664018,LALITPUR,UTTAR PRADESH,4.8542832908E9,167,,9,0000000000000000037b
1179,370767.28997,LUCKNOW,UTTAR PRADESH,2.43858602372E9,157,,9,0000000000000000037c
1180,569487.665498,MAHOBA,UTTAR PRADESH,3.1363235312E9,169,,9,0000000000000000037d
1181,404429.576854,MAHRAJGANJ,UTTAR PRADESH,2.8398108718E9,187,,9,0000000000000000037e
1182,375741.152864,MAINPURI,UTTAR PRADESH,2.64275516528E9,148,,9,0000000000000000037f
1183,407498.874292,MATHURA,UTTAR PRADESH,3.22549306682E9,145,,9,00000000000000000380
1184,317450.490308,MAU,UTTAR PRADESH,1.67252985646E9,192,,9,00000000000000000381
1185,310708.896881,MEERUT,UTTAR PRADESH,2.48237041967E9,138,,9,00000000000000000382
1186,571985.26247,MIRZAPUR,UTTAR PRADESH,4.24249005023E9,199,,9,00000000000000000383
1187,450265.525797,MORADABAD,UTTAR PRADESH,2.19576581309E9,135,,9,00000000000000000384
1188,339901.444274,MUZAFFARNAGAR,UTTAR PRADESH,2.62134929184E9,133,,9,00000000000000000385
1189,594897.728516,PILIBHIT,UTTAR PRADESH,3.64265705802E9,151,,9,00000000000000000386
1190,537619.587402,PRATAPGARH,UTTAR PRADESH,3.57758861275E9,173,,9,00000000000000000387
1191,606571.946416,PRAYAGRAJ,UTTAR PRADESH,5.24721031858E9,175,,9,00000000000000000388
1192,509106.783701,RAE BARELI,UTTAR PRADESH,3.77083309822E9,158,,9,00000000000000000389
1193,405602.549693,RAMPUR,UTTAR PRADESH,2.29122652982E9,136,,9,0000000000000000038a
1194,373896.78771,SAHARANPUR,UTTAR PRADESH,3.61742744832E9,132,,9,0000000000000000038b
1195,403690.285144,SAMBHAL,UTTAR PRADESH,2.32922455492E9,659,,9,0000000000000000038c
1196,397866.836566,SANT KABIR NAGAR,UTTAR PRADESH,1.5801985014E9,186,,9,0000000000000000038d
